Timestamp, Engine Raw, Chassis Raw, Output
17844702816,1.69673,1.61455,1.66645
17845781016,1.77568,1.41152,1.39011
17846859938,1.74185,1.64678,1.50854
17847938508,1.63711,1.92473,1.87512
17849016615,1.61052,1.95293,1.96817
17850096537,1.7064,1.61213,1.63261
17851174608,1.7926,1.34224,1.33089
17852253308,1.75796,1.54365,1.45214
17853346193,1.65,1.83208,1.83
17854414652,1.59521,1.97468,2.02175
17855511888,1.69512,1.67417,1.67209
17856590903,1.79421,1.38171,1.32525
17857669621,1.77246,1.38977,1.40139
17858748544,1.65564,1.77568,1.81026
17859827280,1.57507,2.00369,2.09224
17860905591,1.64919,1.77407,1.83282
17861984310,1.77568,1.42522,1.39011
17863063232,1.78857,1.48081,1.34499
17864145024,1.69351,1.74587,1.67773
17865224094,1.60085,1.93359,2.00201
17866302405,1.64033,1.7918,1.86384
17867381846,1.75393,1.46389,1.46624
17868460731,1.7781,1.40024,1.38165
17869539505,1.6927,1.77004,1.68055
17870618001,1.61213,2.02625,1.96253
17871698442,1.64114,1.81436,1.86102
17872775049,1.74587,1.48726,1.49444
17873855712,1.78455,1.34546,1.35909
17874929393,1.69753,1.68303,1.66363
17876007074,1.61133,1.99724,1.96535
17877084496,1.62261,1.84094,1.92587
17878162030,1.74346,1.54446,1.5029
17879239581,1.79502,1.4373,1.32243
17880315615,1.70962,1.72412,1.62133
17881394592,1.61375,1.92231,1.95689
17882473496,1.61213,1.79824,1.96253
17883551862,1.72412,1.50015,1.57058
17884633784,1.78696,1.42764,1.35063
17885712688,1.73218,1.70076,1.54238
17886791869,1.64114,1.96501,1.86102
17887884643,1.62502,1.90459,1.91741
17888950139,1.71848,1.53962,1.59031
17890028358,1.78535,1.29067,1.35627
17891106743,1.71768,1.49209,1.59313
17892186628,1.61858,1.85625,1.93997
17893264976,1.60649,2.02544,1.98227
17894347657,1.71042,1.68142,1.61851
17895425709,1.79744,1.43086,1.31397
17896504760,1.74185,1.4937,1.50854
17897583571,1.63147,1.76038,1.89486
17898662067,1.59038,1.93521,2.03867
17899740286,1.69995,1.73862,1.65517
17900819541,1.8063,1.4647,1.28295
17901898630,1.77327,1.45745,1.39857
17902977663,1.65725,1.71284,1.80462
17904059437,1.59119,1.92312,2.03585
17905138174,1.66128,1.82,1.79052
17906216929,1.77488,1.48323,1.39293
17907295555,1.78455,1.46067,1.35909
17908374440,1.68867,1.73298,1.69465
17909453770,1.60327,1.94487,1.99355
17910530451,1.64678,1.77488,1.84128
17911607299,1.74668,1.40588,1.49162
17912684814,1.75957,1.4075,1.4465
17913792884,1.68303,1.76682,1.71439
17914839250,1.61616,1.95938,1.94843
17915916821,1.66531,1.75635,1.77642
17916993854,1.76682,1.46147,1.42113
17918070331,1.77246,1.48564,1.40139
17919148605,1.67256,1.74104,1.75105
17920227342,1.62019,1.99805,1.93433
17921306449,1.66047,1.79744,1.79334
17922398797,1.76843,1.48887,1.41549
17923463831,1.79099,1.44617,1.33653
17924546216,1.68142,1.75071,1.72003
17925624138,1.58796,1.9771,2.04713
17926703578,1.62744,1.79905,1.90896
17927782074,1.74749,1.52673,1.4888
17928861071,1.7926,1.47839,1.33089
17929940122,1.71042,1.75312,1.61851
17931018470,1.61455,1.97146,1.95407
17932096744,1.62019,1.79905,1.93433
17933176444,1.74104,1.50981,1.51136
17934257459,1.79824,1.41958,1.31115
17935335621,1.71204,1.62744,1.61287
17936414969,1.61536,1.90298,1.95125
17937493317,1.61938,1.82966,1.93715
17938571906,1.71929,1.55896,1.58749
17939650606,1.79744,1.44214,1.31397
17940728991,1.73701,1.61455,1.52546
17941808117,1.62019,1.85706,1.93433
17942886557,1.59683,1.80469,2.01611
17943969109,1.70801,1.63066,1.62697
17945047531,1.80469,1.44294,1.28859
17946126231,1.75635,1.64597,1.45778
17947205190,1.63953,1.8071,1.86666
17948282483,1.59521,1.78293,2.02175
17949359701,1.67739,1.58152,1.73413
17950436475,1.77891,1.44214,1.37883
17951515304,1.76521,1.62986,1.42677
17952592523,1.67256,1.91587,1.75105
