Timestamp, Input Raw, Input Filtered, Output, Error
6411079934,-0.0331501,0.040989,-0.00965063,0.0281205
6412152950,-0.245897,0.0143957,0.0611653,0.023094
6413216209,-0.203993,0.00311357,0.0803994,0.0180901
6414295984,0.0748351,0.0192308,0.0287474,0.0187939
6415365223,0.311758,0.0458242,-0.040863,0.0238474
6416441573,0.265018,0.0563003,-0.0590819,0.0284164
6417528310,-0.0371795,0.0393773,-0.00738148,0.0271607
6418583977,-0.244286,0.0135898,0.0630503,0.0227232
6419663789,-0.179817,0.00472528,0.0800211,0.0193879
6420730658,0.115128,0.0232601,0.0258271,0.0220255
6421806508,0.314982,0.0490476,-0.0432445,0.0264938
6422887209,0.236007,0.057912,-0.0584308,0.030255
6423948949,-0.051685,0.0401831,-0.00343456,0.0288676
6425047092,-0.255568,0.0135898,0.0655759,0.0233682
6426103129,-0.175788,0.00472528,0.0779997,0.0190601
6427171813,0.105458,0.0216483,0.0215865,0.0193231
6428249144,0.32304,0.0482418,-0.0454867,0.0250518
6429328123,0.236007,0.0563003,-0.0570442,0.0292514
6430394289,-0.0645787,0.0377656,0.000466552,0.027779
6431475193,-0.251538,0.011978,0.0685141,0.0225425
6432550784,-0.153223,0.00633698,0.0774585,0.0202056
6433628115,0.129634,0.0248718,0.0183934,0.0212232
6434704946,0.319011,0.0506594,-0.0470289,0.0264372
6435776370,0.217472,0.057912,-0.0541653,0.0308722
6436863699,-0.0734432,0.0385714,0.0048602,0.0292592
6437949863,-0.256374,0.0127839,0.0691817,0.0235235
6439023712,-0.156447,0.00633698,0.074648,0.0192957
6440099210,0.143333,0.0264835,0.0151813,0.0215812
6441170172,0.32707,0.0514652,-0.0491106,0.0269081
6442245299,0.202161,0.0554945,-0.0530536,0.0293208
6443322926,-0.0879487,0.035348,0.00783306,0.0273208
6444398628,-0.257985,0.0111721,0.0721153,0.0226755
6445480384,-0.14033,0.00633698,0.0736352,0.0189333
6446554530,0.158645,0.0272893,0.0115756,0.0213487
6447617511,0.322234,0.0522711,-0.0505532,0.0269002
6448706192,0.193297,0.0563003,-0.0508294,0.0303599
6449765488,-0.115348,0.0345421,0.011429,0.0273844
6450850281,-0.274103,0.00875455,0.0734614,0.0206191
6451923057,-0.125018,0.00633698,0.0715887,0.018257
6453003592,0.172344,0.0272893,0.00734622,0.020241
6454092236,0.328681,0.0514652,-0.0541498,0.0257021
6455158105,0.190073,0.0546886,-0.0506898,0.0296144
6456220216,-0.110513,0.0329304,0.0148964,0.027425
6457279660,-0.257985,0.00875455,0.0753538,0.0219326
6458356510,-0.100037,0.00794869,0.0693926,0.0200066
6459421842,0.195714,0.0305129,0.00371438,0.0227254
6460500580,0.325458,0.0546886,-0.0553752,0.0285238
6461574560,0.175568,0.0563003,-0.0477127,0.0318446
6462663000,-0.14033,0.0329304,0.0196426,0.0284357
6463730629,-0.264432,0.0095604,0.0779056,0.0229561
6464805626,-0.097619,0.00875455,0.068159,0.0197042
6465869792,0.194103,0.0313187,0.000108751,0.0218254
6466948568,0.319817,0.0546886,-0.0561516,0.0274911
6468018066,0.170733,0.0554945,-0.0441814,0.0312145
6471629809,0.0280952,0.0401831,0.0217384,0.0364438
6472690030,0.29,0.0450184,0.0701449,0.0585766
6473764417,0.295641,0.0659707,0.0540282,0.0766214
6474838656,0.0321246,0.0812821,0.00415676,0.0727241
6475902100,-0.219304,0.0764468,-0.0155245,0.0521205
6476970061,-0.23381,0.0563003,0.0138952,0.0331929
